job_id,com_id,pos_id,area_id
91549710,69618913,200202,20
91548635,9703819,200202,20
91512784,73189187,200202,65
91487169,51870232,200202,9
91466080,50920973,200202,18
85914659,50920973,200202,55
85855224,1287418,200202,260
85855220,1287418,200202,263
85855218,1287418,200202,262
85222330,1287418,200202,137
85127282,1287418,200202,140
80215119,9635056,200202,221
80207599,49787891,200202,290
79756479,69190362,200202,7
77156578,50831870,200202,253
76560051,9597422,200202,18
71037040,54932578,200202,18
54442180,50370440,200202,65
91527437,73088564,200202,132
91519117,2000200,200202,48
91518688,73174902,200202,9
91516646,34431392,200202,138
91513267,73088564,200202,130
91508846,69618913,200202,20
91506818,73127592,200202,254
91506815,73127592,200202,254
91456908,72530731,200202,253
91449605,69032845,200202,334
91303477,69399718,200202,43
91282565,9632020,200202,23
91237168,50370222,200202,52
91237167,50370222,200202,49
91237166,50370222,200202,57
91237164,50370222,200202,56
91237163,50370222,200202,56
91237161,50370222,200202,22
91237158,50370222,200202,54
91215956,68646191,200202,25
91183019,541258,200202,260
91165036,48513359,200202,7
91151911,1266969,200202,310
91141345,2150079,200202,115
85854403,1287418,200202,43
85854402,1287418,200202,18
85854378,1287418,200202,164
85244988,1225227,200202,52
85233275,1287418,200202,165
85233269,1287418,200202,20
85141295,69419403,200202,329
85127283,1287418,200202,144
85107746,1287418,200202,33
85032775,68646191,200202,24
85012560,1266969,200202,310
84858479,1287418,200202,65
84858477,1287418,200202,68
84858476,1287418,200202,64
84858475,1287418,200202,64
84858472,1287418,200202,62
84858470,1287418,200202,62
84858468,1287418,200202,62
84858465,1287418,200202,26
84858464,1287418,200202,28
84858456,1287418,200202,38
84858454,1287418,200202,22
84858452,1287418,200202,23
84858451,1287418,200202,27
84858442,1287418,200202,253
84858435,1287418,200202,255
84858434,1287418,200202,53
84858433,1287418,200202,56
84858429,1287418,200202,48
84858426,1287418,200202,49
84858425,1287418,200202,54
84858420,1287418,200202,51
84858418,1287418,200202,291
84858410,1287418,200202,216
84858406,1287418,200202,221
84858404,1287418,200202,12
84858402,1287418,200202,10
84858397,1287418,200202,18
84858395,1287418,200202,9
84858389,1287418,200202,8
84826618,1287418,200202,89
80263332,1287418,200202,61
80175198,1287418,200202,21
80175197,1287418,200202,175
80175184,1287418,200202,290
80175169,1287418,200202,221
80175165,1287418,200202,7
79709688,70446581,200202,57
79576736,69447548,200202,17
79128585,69010410,200202,276
77116734,1882417,200202,24
76985581,69447548,200202,17
76968526,9443549,200202,281
76707290,69419403,200202,19
76644138,52106413,200202,111
76458044,48513359,200202,61
76458032,48513359,200202,259
76027535,9901533,200202,137
75994175,68853792,200202,164
75751011,9690565,200202,182
71650581,2755163,200202,20
57292853,8665017,200202,50
56776825,8665017,200202,27
56776826,8665017,200202,48
56597779,1882417,200202,26
56351389,8665017,200202,55
56283517,8665017,200202,52
52610837,48513359,200202,290
91492321,73087406,200202,49
91171954,73092635,200202,64
86018379,72562609,200202,112
85976762,68649536,200202,48
85975779,51385568,200202,329
85969808,50035331,200202,16
85950370,68649536,200202,48
85904674,73080215,200202,116
85191451,69482203,200202,90
85048301,69029491,200202,292
