com_id,com_name,capital,emp_num,addr
49832282,上水股份有限公司,9,330,台北市中山區德惠街16之5號6樓
73188868,多芬建設股份有限公司,113,10,台中市西屯區河南路二段262號12樓之13
9655047,居之友公寓大廈管理維護股份有限公司(居之友保全)(居之友公寓大廈管理維護股份有限公司、居之友保全股份有限公司),110,\N,台中市西區公益路130號8樓
9900523,貿錦產業有限公司,9,5,台北市中山區復興北路181號3樓之3
68651257,傑明皇家保全股份有限公司,21,250,新北市中和區中山路二段296號3樓之6
71704695,圓稼嚼感奶茶,127,\N,台中市大肚區中沙路168號
1901749,新東陽股份有限公司,11,800,台北市大安區忠孝東路四段289號8樓
71173257,"魅奇學娛樂工作坊(酷Magic魔幻娛樂,ＣＭ魅奇學院)",19,10,新北市板橋區中正路112號1樓
2800490,和之合股份有限公司(HB衛浴 HUNTINGTON),11,725,台北市大安區敦化南路二段98號5樓之1
51350259,SUBARU_台灣意美汽車股份有限公司,49,200,桃園市中壢區東園路38之2號(中壢工業區)
71710436,菳寶能源股份有限公司,196,32,嘉義市西區世賢路一段580巷199之1號
71728905,天佑科技有限公司,\N,\N,暫不提供
50513390,LEECO OUTLET禮客_管家婆科技股份有限公司,\N,100,暫不提供
9590873,(ATT)吸引力綜合百貨股份有限公司,13,\N,台北市信義區松仁路89號5樓
73133540,心動力健身房,220,\N,台南市安南區安和路一段136號
1883029,海霸王集團_海霸王餐廳股份有限公司(海霸王企業集團),8,600,台北市大同區西寧北路62號7樓
490030,微風廣場實業股份有限公司,13,1000,台北市信義區忠孝東路五段68號
9591937,台灣鋼鐵集團沛波鋼鐵股份有限公司(沛波鋼鐵股份有限公司),8,60,台北市大同區承德路三段132號2樓(內湖科技園區)
9590084,南良集團_阜奕管理顧問股份有限公司,221,12000,台南市永康區仁愛街357號
1266152,英業達股份有限公司,14,4000,台北市士林區後港街66號
69013629,東成醬油會館(東成醬油有限公司)(東成會館),223,\N,台南市新化區中興路293號
69434698,樂學網科技股份有限公司(樂學網),216,\N,台南市東區東門路一段354號2樓
69432085,微笑好室修洗鞋包,22,\N,新北市永和區永和路二段251號1樓
70673356,社團法人桃園市城鄉不動產協會,48,\N,桃園市桃園區桃園區縣府路110號4樓之1
73183342,艾一科技股份有限公司,254,10,高雄市鼓山區龍德路473號4樓
73133042,上宸資產,215,\N,台南市中西區民權路四段558號
72118318,青原企業行(雲天飲品),262,5,高雄市小港區松和路1號
10346053,東龍珠股份有限公司,26,50,新北市鶯歌區文化路120號
48510223,萬岳運動休閒館,19,300,新北市板橋區文化路一段106號
73083034,小井玉高火店_錦英企業行,255,\N,高雄市三民區建國三路85之3號
50560413,現代印染整理股份有限公司,51,100,桃園市八德區白鷺里成功街12號
69015086,丞石建築開發有限公司,13,100,台北市信義區松仁路36號8樓
51550304,(蘭揚豐田汽車)蘭揚汽車股份有限公司,84,\N,宜蘭縣五結鄉中正路三段138號
9721433,孔孟文化事業有限公司,9,170,台北市中山區民權西路48號5樓
70023771,樂尼尼國際股份有限公司,48,400,桃園市桃園區大興西路二段6號17樓之1
71694025,天愛全球地產有限公司(東森房屋),19,\N,新北市板橋區雙十路二段174號1樓
73173634,有限責任高雄市岡山河堤果菜運銷合作社,270,\N,高雄市岡山區岡燕區89號
1346677,嘉捷科技企業股份有限公司(AOC、Philips),21,1600,新北市中和區連城路230號10樓
68790723,安鼎安衛工程股份有限公司(安鼎安衛),43,30,新北市新店區寶橋路235巷5號4樓
72522211,新技企業股份有限公司,258,50,高雄市新興區中正三路55號29樓
72555316,亞蓉專業美容店,113,\N,台中市西屯區青海路一段12號1樓
68649536,川晟生物科技股份有限公司(川晟機構),48,20,桃園市桃園區中正路1086號16樓
36056025,盛大電梯企業股份有限公司(SERNTA),221,80,台南市永康區中華路425號19樓之3
54935461,漢林環保科技股份有限公司,264,\N,高雄市大寮區大業街3號(大發工業區)
50566778,憶霖企業股份有限公司(總公司),27,\N,新北市三重區環漢路一段158號
67213937,Ami English-Global Professional Educational Institute,44,10,新北市深坑區埔新街61巷2號1樓
71486346,台灣吉豚屋餐飲股份有限公司,\N,100,暫不提供
69043097,廣三崇光國際開發股份有限公司,110,\N,台中市西區臺灣大道二段459號
73156420,Envie De Neuf(茵蝶)_霈方國際股份有限公司新竹營業處,11,500,台北市大安區忠孝東路四段310號6樓
48510601,大管家房屋管理_宜加仲介有限公司(【租屋首選 房屋租賃第一品牌 包租代管代租專家】),\N,120,新竹市經國路一段632號
72558855,好運實業股份有限公司,21,\N,新北市中和區中山路二段296號9樓之6
73088222,悠活房屋仲介有限公司(住商悠活團隊),329,\N,花蓮縣花蓮市林森路377號
73195273,傑拉德有限公司,113,\N,台中市西屯區福安里福泰街113號
10068362,集雅社股份有限公司(集雅社影音家電),259,300,高雄市苓雅區中正一路265號1樓
9910082,永覲工業股份有限公司,262,\N,高雄市小港區興業街15號(臨海工業區)
68006638,二水政信針織股份有限公司,158,\N,彰化縣二水鄉修仁村南通路二段75號
9528653,台灣愛德克股份有限公司,267,130,高雄市仁武區竹後里水管路87號
73195154,合力旺不動產開發有限公司,290,\N,屏東縣屏東市廣東南路100號
72517356,良品國際有限公司(良品防滑專家),118,\N,台中市烏日區建國路333號1樓
940149,裕榮食品股份有限公司(蝦味先),264,\N,高雄市大寮區鳳屏一路7號
70669471,妮娜巧克力觀光工廠(妮娜有限公司)(Cona`s妮娜巧克力夢想城堡),163,\N,南投縣埔里鎮桃米路32號
8961066,忠群螺絲五金股份有限公司,56,102,桃園市龜山區頂湖一街8巷12號(近林口)
71701211,歐楓時計實業有限公司,258,\N,高雄市新興區文橫二路143巷1號
70446795,禾新精密科技有限公司,19,\N,新北市板橋區民族路258號8樓
3225495,益張實業股份有限公司,160,\N,彰化縣埤頭鄉興工路4號(埤頭工業區)
69617870,全聯工程科技股份有限公司,13,310,台北市信義區基隆路一段141號3樓之1
390206,良福保全股份有限公司,9,2800,台北市中山區南京東路二段8號12樓
36088720,台北美國學校,14,\N,台北市士林區中山北路六段800號
2001409,馨昌股份有限公司,13,40,台北市信義區基隆路二段51號6樓之6
52006836,十全十美國際事業股份有限公司,7,20,台北市中正區林森北路9巷7號3樓
73177003,新世代食品股份有限公司,111,\N,台中市北區三民路三段148之3號(7064)
73172419,淯晟企業行,259,\N,高雄市苓雅區海邊路46號3樓之一
72455229,宜丞保全股份有限公司,49,\N,桃園市中壢區松義路82號
55134176,長流機構,11,\N,台北市大安區仁愛路二段
72087042,華發漁業股份有限公司,\N,\N,暫不提供
73150265,玖都實業股份有限公司,31,10,新北市林口區仁愛路二段309之1號2樓
69191388,住商不動產(加盟店聯合徵才) (中彰投區),11,3000,台北市大安區
70026043,威量高端儀器股份有限公司,118,\N,台中市烏日區太明路199巷11號
36073490,加賀金屬工業股份有限公司,\N,\N,暫不提供
2786150,祥建科技股份有限公司,10,\N,台北市松山區民生東路五段102號
72562609,京饌團膳有限公司,113,\N,台中市西屯區西墩里西林巷5之51號1樓
71722737,威森設計有限公司,91,\N,苗栗縣竹南鎮科專三路21號
1096927,宇球國際興業有限公司,22,150,新北市永和區保生路62號2樓
71728663,叡觀國際空間規劃有限公司,112,15,台中市北屯區崇德路二段255號4樓
9770549,新芳奈米科技有限公司,239,\N,台南市新營區復興路1131之1號(新營工業區)
68787405,高雄市立大同醫院 (委託財團法人私立高雄醫學大學附設中和紀念醫院經營),257,\N,高雄市前金區中華三路68號
72197301,蘭陽健康運動事業股份有限公司(蘭陽健身中心),82,\N,宜蘭縣羅東鎮南昌里站前南路260號2樓
71954630,凱心貿易有限公司(KT BIKER),\N,5,暫不提供
50920165,華山玩具店(華山玩具),9,\N,台北市中山區中山北路二段59巷50號1樓
50507288,同喬醫療體系(同喬),264,\N,高雄市大寮區鳳屏一路507號
