job_id,degree,low_salary,high_salary,exp_year,job_type,worktime,isnight,needed_num,url
0,56,40000,\N,4,0,9.0,1,1,91548519
1,56,30000,30000,3,0,9.5,1,1,91548142
2,60,38000,42000,3,0,8.0,1,1,91548052
3,56,40000,\N,3,0,8.0,1,1,91547248
4,60,38000,40000,2,0,8.0,1,0,91547223
5,0,28000,30000,0,0,8.0,1,1,91547058
6,28,40000,\N,3,0,9.0,1,1,91546980
7,24,40000,50000,5,0,8.0,1,1,91546342
8,56,40000,\N,5,0,-3.0,1,1,91546237
9,60,40000,\N,10,0,8.0,1,1,91546195
10,60,40000,\N,5,0,8.0,1,1,91546088
11,60,45000,100000,1,0,8.0,1,1,91545644
12,28,32000,45000,5,0,8.0,3,1,91545642
13,12,40000,40000,3,0,8.0,3,1,91542678
14,28,40000,\N,0,0,9.0,0,1,91541245
15,60,40000,\N,1,0,8.0,1,1,91539365
16,60,38000,45000,3,0,8.0,3,1,91536362
17,0,45000,50000,0,0,8.0,1,1,91534197
18,56,40000,\N,8,0,9.0,1,1,91533866
19,56,40000,\N,5,0,9.0,1,1,91533856
20,56,40000,\N,5,0,9.0,1,1,91533853
21,60,40000,\N,5,0,8.0,1,1,91532243
22,24,40000,\N,3,0,8.0,1,1,91529879
23,0,42000,45000,0,0,8.0,1,1,91529427
24,0,30000,36000,0,0,8.0,1,1,91529420
25,56,40000,\N,5,0,8.0,1,1,91529349
26,8,40000,\N,3,0,9.0,1,1,91529237
27,8,35000,35000,1,0,8.0,1,1,91529017
28,24,40000,\N,5,0,9.0,1,1,91523032
29,60,40000,\N,0,0,9.0,1,2,91516438
30,60,160,160,0,1,8.0,1,2,91513330
31,60,40000,\N,5,0,9.25,1,1,91512978
32,60,40000,\N,15,0,9.0,1,1,91512664
33,60,160,160,0,1,8.0,1,2,91512521
34,60,160,160,0,1,8.0,1,2,91512501
35,28,40000,\N,2,0,8.0,1,1,91509078
36,60,45000,45000,2,0,9.0,1,1,91503823
37,24,23800,45000,0,0,9.5,1,1,91493426
38,56,32000,42000,3,0,8.0,1,1,91486861
39,56,40000,\N,5,0,9.25,1,1,91483337
40,8,40000,\N,2,0,9.0,1,1,91479907
41,60,40000,\N,3,0,8.0,1,0,91478530
42,60,40000,\N,5,0,8.0,1,0,91478513
