job_id,com_id,pos_id,area_id
23138,4413,130209,48
23139,3614,130209,252
23140,6217,130209,31
23141,5715,130209,258
23142,6218,130209,66
23143,3627,130209,269
23144,2268,130209,61
23145,6219,130209,20
23146,1208,130209,332
23147,64,130209,24
23148,3317,130209,48
23149,6220,130209,19
23150,1555,130209,27
23151,2815,130209,196
23152,3186,130209,48
23153,6221,130209,43
23154,1797,130209,259
23155,1797,130209,195
23156,1797,130209,61
23157,1797,130209,53
23158,1797,130209,19
23159,3832,130209,48
23160,5619,130209,101
23161,389,130209,27
23162,2387,130209,43
23163,1796,130209,263
23164,412,130209,329
23165,2491,130209,29
23166,2396,130209,21
23167,2134,130209,170
23168,3750,130209,38
23169,6222,130209,264
23170,1998,130209,49
23171,412,130209,64
23172,6223,130209,175
23173,326,130209,48
23174,2016,130209,259
23175,3750,130209,38
23176,6224,130209,259
23177,6225,130209,32
23178,6226,130209,50
23179,2119,130209,262
23180,5109,130209,258
23181,4677,130209,23
23182,6227,130209,31
23183,6227,130209,31
23184,6152,130209,28
23185,1045,130209,53
23186,1045,130209,53
23187,1045,130209,53
23188,1045,130209,53
23189,1045,130209,53
23190,1045,130209,53
23191,1045,130209,53
23192,1045,130209,53
23193,1045,130209,53
23194,275,130209,30
23195,2729,130209,30
23196,3908,130209,259
23197,3382,130209,27
23198,6228,130209,30
