job_id,com_id,pos_id,area_id
0,0,190221,116
1,1,190221,259
2,1,190221,255
3,1,190221,263
4,1,190221,252
5,1,190221,253
6,1,190221,260
7,1,190221,258
8,2,190221,125
9,3,190221,247
10,4,190221,342
11,5,190221,255
12,6,190221,187
13,7,190221,263
14,8,190221,276
15,9,190221,228
16,10,190221,26
17,11,190221,14
18,12,190221,91
19,0,190221,119
20,13,190221,53
21,14,190221,108
22,14,190221,108
23,14,190221,108
24,15,190221,79
25,16,190221,118
26,15,190221,79
27,17,190221,43
28,18,190221,265
29,19,190221,267
30,20,190221,113
31,21,190221,11
32,22,190221,23
33,23,190221,79
34,24,190221,139
35,25,190221,20
36,26,190221,112
37,27,190221,125
38,28,190221,101
39,29,190221,267
40,30,190221,280
41,26,190221,112
42,31,190221,126
43,32,190221,129
44,33,190221,258
45,34,190221,56
