job_id,com_id,pos_id,area_id
27190,1348,140401,33
27191,1209,140401,23
27192,2346,140401,93
27193,1027,140401,59
27194,438,140401,260
27195,73,140401,63
27196,1101,140401,31
27197,6609,140401,49
27198,534,140401,48
27199,425,140401,175
27200,1022,140401,20
27201,2227,140401,255
27202,2227,140401,61
27203,2227,140401,49
27204,2068,140401,19
27205,81,140401,178
27206,4926,140401,254
27207,252,140401,19
27208,431,140401,56
27209,431,140401,56
27210,2166,140401,23
27211,3103,140401,52
27212,3103,140401,52
27213,295,140401,162
27214,295,140401,77
27215,1060,140401,43
27216,1064,140401,61
27217,304,140401,52
27218,1064,140401,38
27219,308,140401,27
27220,308,140401,23
27221,308,140401,21
27222,308,140401,52
27223,308,140401,52
27224,308,140401,52
