job_id,com_id,pos_id,area_id
28140,2181,150111,56
28141,642,150111,52
28142,6682,150111,26
28143,2126,150111,264
28144,435,150111,24
28145,6296,150111,21
28146,6285,150111,38
28147,2181,150111,56
28148,367,150111,27
28149,6403,150111,267
28150,6683,150111,64
28151,1280,150111,64
28152,4936,150111,20
28153,6684,150111,61
28154,4798,150111,146
28155,6632,150111,260
28156,477,150111,27
28157,608,150111,31
28158,6685,150111,68
28159,309,150111,38
28160,309,150111,38
28161,309,150111,38
28162,309,150111,38
28163,309,150111,38
28164,309,150111,38
28165,309,150111,38
28166,309,150111,38
