ID,縣市,鄉鎮區,縣市鄉鎮區
0,基隆市,仁愛區,基隆市仁愛區
1,基隆市,中正區,基隆市中正區
2,基隆市,信義區,基隆市信義區
3,基隆市,中山區,基隆市中山區
4,基隆市,安樂區,基隆市安樂區
5,基隆市,暖暖區,基隆市暖暖區
6,基隆市,七堵區,基隆市七堵區
7,臺北市,中正區,臺北市中正區
8,臺北市,大同區,臺北市大同區
9,臺北市,中山區,臺北市中山區
10,臺北市,松山區,臺北市松山區
11,臺北市,大安區,臺北市大安區
12,臺北市,萬華區,臺北市萬華區
13,臺北市,信義區,臺北市信義區
14,臺北市,士林區,臺北市士林區
15,臺北市,北投區,臺北市北投區
16,臺北市,內湖區,臺北市內湖區
17,臺北市,南港區,臺北市南港區
18,臺北市,文山區,臺北市文山區
19,新北市,板橋區,新北市板橋區
20,新北市,新莊區,新北市新莊區
21,新北市,中和區,新北市中和區
22,新北市,永和區,新北市永和區
23,新北市,土城區,新北市土城區
24,新北市,樹林區,新北市樹林區
25,新北市,三峽區,新北市三峽區
26,新北市,鶯歌區,新北市鶯歌區
27,新北市,三重區,新北市三重區
28,新北市,蘆洲區,新北市蘆洲區
29,新北市,五股區,新北市五股區
30,新北市,泰山區,新北市泰山區
31,新北市,林口區,新北市林口區
32,新北市,八里區,新北市八里區
33,新北市,淡水區,新北市淡水區
34,新北市,三芝區,新北市三芝區
35,新北市,石門區,新北市石門區
36,新北市,金山區,新北市金山區
37,新北市,萬里區,新北市萬里區
38,新北市,汐止區,新北市汐止區
39,新北市,瑞芳區,新北市瑞芳區
40,新北市,貢寮區,新北市貢寮區
41,新北市,平溪區,新北市平溪區
42,新北市,雙溪區,新北市雙溪區
43,新北市,新店區,新北市新店區
44,新北市,深坑區,新北市深坑區
45,新北市,石碇區,新北市石碇區
46,新北市,坪林區,新北市坪林區
47,新北市,烏來區,新北市烏來區
48,桃園市,桃園區,桃園市桃園區
49,桃園市,中壢區,桃園市中壢區
50,桃園市,平鎮區,桃園市平鎮區
51,桃園市,八德區,桃園市八德區
52,桃園市,楊梅區,桃園市楊梅區
53,桃園市,蘆竹區,桃園市蘆竹區
54,桃園市,大溪區,桃園市大溪區
55,桃園市,龍潭區,桃園市龍潭區
56,桃園市,龜山區,桃園市龜山區
57,桃園市,大園區,桃園市大園區
58,桃園市,觀音區,桃園市觀音區
59,桃園市,新屋區,桃園市新屋區
60,桃園市,復興區,桃園市復興區
61,新竹市,東區,新竹市東區
62,新竹市,北區,新竹市北區
63,新竹市,香山區,新竹市香山區
64,新竹縣,竹北市,新竹縣竹北市
65,新竹縣,竹東鎮,新竹縣竹東鎮
66,新竹縣,新埔鎮,新竹縣新埔鎮
67,新竹縣,關西鎮,新竹縣關西鎮
68,新竹縣,湖口鄉,新竹縣湖口鄉
69,新竹縣,新豐鄉,新竹縣新豐鄉
70,新竹縣,峨眉鄉,新竹縣峨眉鄉
71,新竹縣,寶山鄉,新竹縣寶山鄉
72,新竹縣,北埔鄉,新竹縣北埔鄉
73,新竹縣,芎林鄉,新竹縣芎林鄉
