pos_id,pos_field,pos_name
100101,管理,經營管理主管
100105,管理,特別助理
100106,管理,高階祕書
100107,管理,基層管理幹部
100108,管理,儲備幹部
100201,人資,人力資源主管
100202,人資,人力資源專員
100203,人資,人力仲介
100204,人資,教育訓練人員
100205,人資,人事助理
100301,行政,行政主管
100302,行政,行政人員
100303,行政,祕書
100304,行政,行政助理
100305,行政,總務主管
100306,行政,總務人員
100307,行政,總機／接待／櫃檯人員
100308,行政,檔案資料管理人員
100309,行政,電腦操作／資料輸入
100310,行政,工讀生
100311,行政,文件管理師
110101,金融保險,金融專業主管
110102,金融保險,金融研究人員
110103,金融保險,不動產審核／估價師
110104,金融保險,授權／授信／徵信人員
110105,金融保險,金融營業人員
110106,金融保險,銀行辦事人員
110107,金融保險,投資理財人員
110108,金融保險,帳款催收人員
110109,金融保險,股務人員
110110,金融保險,承銷人員
110111,金融保險,券商後線人員
110112,金融保險,統計精算人員
110113,金融保險,理賠人員
110114,金融保險,核保／保險內勤人員
110201,財務會計,財務／會計主管
110202,財務會計,主辦會計
110203,財務會計,財務分析人員
110204,財務會計,成本會計人員
110205,財務會計,財務人員
110206,財務會計,會計／出納／記帳人員
110207,財務會計,財務／會計助理
110301,稽核審計,會計師
110302,稽核審計,稽核主管
110303,稽核審計,稽核人員
110304,稽核審計,查帳／審計人員
110305,稽核審計,稅務人員
120101,國貿,國貿人員
120102,國貿,國貿助理
120103,國貿,保稅人員
120104,國貿,船務
120105,國貿,報關人員
120201,業務,國內業務主管
120202,業務,國外業務主管
120203,業務,國內業務人員
120204,業務,國外業務人員
120205,業務,專案業務主管
120206,業務,業務工程師
120207,業務,業務助理
120208,業務,電話行銷主管
120209,業務,電話行銷人員
120210,業務,融資／信用業務人員
120211,業務,醫藥業務代表
120212,業務,不動產經紀人／營業員
120213,業務,保險業務員／經紀人
120214,業務,廣告AE
120215,業務,汽車銷售人員
120216,業務,信用卡類人員
120217,業務,補習班招生人員
120218,業務,傳直銷人員
120220,業務,加盟／招商人員
120221,業務,通路開發人員
120222,業務,商品開發人員
120223,業務,駐校代表
120301,客服,客服主管
120302,客服,客服工程師
120303,客服,客服人員
120304,客服,電訪人員
120305,客服,電話客服人員
120401,門市,店長／門市管理人員
120402,門市,大型賣場管理人員
120403,門市,門市／店員／專櫃人員
120404,門市,售票／收銀人員
120405,門市,駐點銷售人員
130101,行銷,廣告／行銷企劃主管
130103,行銷,行銷企劃人員
130104,行銷,廣告文案企劃人員
130108,行銷,廣告採購人員
130109,行銷,行銷企劃助理
130110,行銷,社群經營人員
130111,行銷,數位行銷人員
130201,企劃,公關企劃人員
130202,企劃,活動企劃人員
130203,企劃,婚禮企劃人員
130204,企劃,市場調查／分析人員
130205,企劃,策展人
130206,企劃,產品企劃主管
130207,企劃,遊戲企劃人員
130208,企劃,產品企劃人員
130209,企劃,網站企劃人員
130301,專案管理,專案管理主管
130302,專案管理,ERP專案管理師
130303,專案管理,軟體相關管理師
130304,專案管理,產品管理師
130305,專案管理,其他專案管理師
140101,電腦硬體,電腦硬體研發工程師
140102,電腦硬體,電腦組裝／維修
140103,電腦硬體,網路及電信線路架設人員
140104,電腦硬體,硬體工程研發主管
140201,軟體工程,軟體專案主管
140202,軟體工程,軟體工程師
140203,軟體工程,通訊軟體工程師
140204,軟體工程,韌體研發類主管
140205,軟體工程,韌體工程師
140206,軟體工程,軟／韌體測試人員
140207,軟體工程,演算法開發工程師
140208,軟體工程,BIOS工程師
140209,軟體工程,CIM工程師
140210,軟體工程,MES工程師
140211,軟體工程,網站技術主管
140212,軟體工程,電玩程式設計師
140213,軟體工程,網站程式設計師
140214,軟體工程,APP工程師
140301,系統規劃,系統工程師
140302,系統規劃,系統分析師
140303,系統規劃,系統維護員／操作員
140304,系統規劃,資料庫管理人員
140305,系統規劃,助理工程師
140306,系統規劃,電子商務技術主管
140401,網站管理,MIS／網管主管
140402,網站管理,MIS工程師
140403,網站管理,網路管理工程師
140404,網站管理,資訊安全分析師
140405,網站管理,資訊助理人員
150101,電子通訊,通訊工程研發主管
150102,電子通訊,電信／通訊系統工程師
150103,電子通訊,RF通訊工程師
150104,電子通訊,電子工程主管
150105,電子通訊,電子工程師
150106,電子通訊,電源工程師
150107,電子通訊,零組件工程師
150108,電子通訊,SMT工程師
150110,電子通訊,PCB-Layout佈局工程師
150111,電子通訊,電子／通訊工程助理
150201,光電半導體,半導體工程研發主管
150202,光電半導體,半導體工程師
150203,光電半導體,半導體製程工程師
150204,光電半導體,半導體設備工程師
150205,光電半導體,IC設計工程師
150206,光電半導體,類比IC設計工程師
150207,光電半導體,數位IC設計工程師
150208,光電半導體,IC佈局工程師
150209,光電半導體,IC封裝／測試工程師
150210,光電半導體,光電工程研發主管
150211,光電半導體,光電工程師
150212,光電半導體,太陽能技術工程師
150213,光電半導體,光學工程師
150214,光電半導體,光電製程工程師
150215,光電半導體,光電設備工程師
150216,光電半導體,光電／半導體工程助理
160101,機械工程,機械工程主管
160102,機械工程,汽車研發人員
160103,機械工程,電機工程主管
160104,機械工程,電機技師／工程師
160106,機械工程,電機維修人員
160107,機械工程,機電技師／工程師
160108,機械工程,微機電工程師
160109,機械工程,機構工程師
160110,機械工程,機械工程師
160111,機械工程,熱傳工程師
160112,機械工程,聲學／噪音工程師
160113,機械工程,其他特殊工程人員
160114,機械工程,機械設計／繪圖人員
160115,機械工程,工程助理
160116,機械工程,電機設備裝配員
160201,生產製程,工廠高階主管
160202,生產製程,生管主管
160203,生產製程,製程主管
160204,生產製程,設備工程主管
160205,生產製程,領班／管理幹部
160206,生產製程,生產技術／製程工程師
160207,生產製程,生產設備工程師
160208,生產製程,生產線工程師
160209,生產製程,工業工程師
160210,生產製程,紡織工務
160211,生產製程,廠務／助理
160212,生產製程,生管／助理
160213,生產製程,包裝員／作業員
160214,生產製程,PLC／自動控制工程師
160301,模具相關,CAD／CAM工程師
160302,模具相關,模具技術人員
160303,模具相關,塑膠模具技術人員
160304,模具相關,金屬模具技術人員
160305,模具相關,沖壓模具技術人員
160306,模具相關,壓鑄模具技術人員
160307,模具相關,鑄造／鍛造模具技術人員
160308,模具相關,粉末冶金模具技術人員
160309,模具相關,塑膠射出技術人員
170101,工具機加工,CNC程式設計師
170102,工具機加工,CNC車床人員
170103,工具機加工,CNC銑床人員
170104,工具機加工,雷射技術操作員
170105,工具機加工,拋光／研磨技術人員
170106,工具機加工,沖床人員
170107,工具機加工,傳統車床人員
170108,工具機加工,傳統銑床人員
170109,工具機加工,線切割技術人員
170110,工具機加工,放電加工技術人員
170201,操作技術,環保／環境工程師／技師
170202,操作技術,電鍍相關技術人員
170203,操作技術,機械加工技術人員
170204,操作技術,組裝組立技術人員
170205,操作技術,印前製作人員
170206,操作技術,印刷技術人員
170207,操作技術,鈑金技術人員
170208,操作技術,焊接技術人員
170209,操作技術,塗裝技術人員
170210,操作技術,鉗工
170211,操作技術,技術人員
170212,操作技術,堆高機操作人員
170213,操作技術,機械操作人員
170214,操作技術,製鞋類人員
170215,操作技術,車縫人員
170216,操作技術,學徒
170217,操作技術,PCB技術人員
170218,操作技術,噴漆技術人員
170219,操作技術,染印人員
170220,操作技術,鍋爐相關人員
170301,技術服務,維修技術主管
170302,技術服務,技術支援主管
170303,技術服務,通信維修人員
170304,技術服務,產品設備維修人員
170305,技術服務,電器產品維修人員
170306,技術服務,電子設備維修人員
170307,技術服務,精密儀器製造維修人員
170308,技術服務,飛機修護員
170309,技術服務,汽車維修人員
170310,技術服務,汽車引擎技術人員
170311,技術服務,其他車輛維修人員
170312,技術服務,機車維修人員
170313,技術服務,機械設備組裝測試人員
170314,技術服務,冷凍空調技術人員／安裝員
170315,技術服務,FAE工程師
180101,採購資材,採購主管
180102,採購資材,資材主管
180103,採購資材,採購人員
180104,採購資材,資材人員
180105,採購資材,倉管／物料管理員
180106,採購資材,採購助理
